1;Jakie narzędzia musi użyć Tux, aby przeciąć kable zasilające?;Nożyce do kabli;Młotek;Śrubokręt;Piła tarczowa;Nożyce do kabli
2;Jaka część kampusu Microsoftu powinna być zaatakowana jako pierwsza?;Centrum badawcze;Biblioteka;Hala sportowa;Biura dyrekcji;Centrum badawcze
3;Kto stoi na drodze Tuxowi przy wejściu głównym?;Ochroniarze Microsoftu;Bill Gates;Steve Ballmer;Satya Nadella;Ochroniarze Microsoftu
4;Jak Tux ma przemknąć się niezauważenie po terenie kampusu?;W przebraniu ochroniarza;Ukryty w krzakach;Biegnąc szybko;Podając się za dostawcę pizzy;W przebraniu ochroniarza
5;Jakie narzędzia Tux musi wykorzystać, aby przeprogramować komputery i serwery Microsoftu?;Specjalne narzędzia do hackowania;Młotek;Piła tarczowa;Klej do papieru;Specjalne narzędzia do hackowania
6;Które narzędzia Tux powinien wykorzystać, aby stawić czoła ochroniarzom Microsoftu?;Klawiatura do atakowania;Mysz do przemieszczania się;Nożyce do kabli;Młotek;Klawiatura do atakowania
7;Kto jest ostatnią linią obrony przed Tuxem?;Bill Gates;Steve Ballmer;Satya Nadella;Nikt, Tux ma wolną drogę;Bill Gates
8;Co się stanie, gdy Tux zdobędzie kontrolę nad wszystkimi budynkami na terenie kampusu Microsoftu?;Linux staje się dominującym systemem operacyjnym w całym świecie;Windows staje się dominującym systemem operacyjnym w całym świecie;Apple staje się dominującym systemem operacyjnym w całym świecie;Nic się nie zmieni;Linux staje się dominującym systemem operacyjnym w całym świecie
9;Jakie zwierzę jest maskotką systemu operacyjnego Linux?;Pingwin;Słoń;Kot;Krokodyl;Pingwin
10;Co Tux powinien zrobić, aby zdominować Microsoft?;Zaprzestać ataków;Zgłosić się na wolontariat w firmie;Współpracować z Microsoftem;Zdobyć kontrolę nad wszystkimi komputerami i serwerami Microsoftu;Zdobyć kontrolę nad wszystkimi komputerami i serwerami Microsoftu
11;Jakie narzędzia Tux musi wykorzystać, aby przeprogramować wszystkie komputery w sieci Microsoftu?;Specjalne narzędzia do hackowania;Młotek;Piła tarczowa;Klej do papieru;Specjalne narzędzia do hackowania
12;Które narzędzia Tux powinien wykorzystać, aby wygrać walkę z ochroniarzami Microsoftu?;Mysz do przemieszczania się;Nożyce do kabli;Młotek;Klawiatura do atakowania;Klawiatura do atakowania
13;Co musi zrobić Tux, aby uzyskać dostęp do tajnego laboratorium Microsoftu?;Znaleźć klucz;Prześlizgnąć się przez wentylację;Podać się za pracownika;Przekroczyć drzwi zamknięte na klucz;Znaleźć klucz
14;Jak Tux może przekonać pracowników Microsoftu, aby pomogli mu w podbiciu firmy?;Obiecać im podwyżki;Zagrać na emocjach i patriotyzmie;Zagrać na ich lękach;Przestraszyć ich groźbą użycia broni;Zagrać na emocjach i patriotyzmie
15;Jakie są cele Tuxa podbijającego Microsoft?;Uzyskanie kontroli nad rynkiem systemów operacyjnych;Zgładzenie dyrekcji Microsoftu;Zdobycie ogromnej ilości pieniędzy;Dobicie się do pracy w Microsoft;Uzyskanie kontroli nad rynkiem systemów operacyjnych
16;Jakie jest największe zagrożenie dla Tuxa na terenie kampusu Microsoftu?;Ochroniarze Microsoftu;Bill Gates;Steve Ballmer;Satya Nadella;Ochroniarze Microsoftu
17;Co się stanie, gdy Tux zostanie schwytany przez ochroniarzy Microsoftu?;Zostanie skazany na dożywocie w więzieniu;Będzie mógł wyjść z więzienia, jeśli zapłaci dużą kaucję;Zostanie uwięziony na zawsze na terenie kampusu Microsoftu;Nic się nie stanie, ponieważ to tylko gra;Zostanie uwięziony na zawsze na terenie kampusu Microsoftu
18;Jak Tux może ukryć swoją obecność na terenie kampusu Microsoftu?;Ukryć się w krzakach;Ukryć się w przebraniu ochroniarza;Prześlizgnąć się przez korytarze;
19;Co Tux powinien zrobić, aby zniszczyć serwery Microsoftu?;Podpalić je;Zatkać je klejem;Zniszczyć je młotkiem;Wysłać do nich wirusa;Wysłać do nich wirusa
20;Jak Tux może zmanipulować pracowników Microsoftu, aby zrobić to, co on chce?;Obiecać im awans;Zagrać na ich ambicjach;Wynająć prywatnych detektywów, którzy ich przestraszą;Zagrać na ich strachu przed utratą pracy;Zagrać na ich ambicjach
21;Jakie komputery Tux powinien przeprogramować jako pierwsze, aby zdominować Microsoft?;Serwery;Komputery biurowe;Komputery w domach pracowników Microsoftu;Laptopy;Serwery
22;Jak Tux może ukraść poufne informacje z Microsoftu?;Przeszukać biura;Przekupić pracowników;Hakować serwery;Złamać szyfry;Hakować serwery
23;Co się stanie, jeśli Tux nie zdominuje Microsoftu w ciągu 24 godzin?;Zostanie uwięziony;Zostanie zmuszony do zapłacenia grzywny;Nic się nie stanie, to tylko gra;Zostanie wygnany z kraju;Nic się nie stanie, to tylko gra
24;Co Tux musi zrobić, aby wygrać walkę z ochroniarzami Microsoftu?;Uciekać;Atakować ich głowami pingwinów;Użyć własnej broni;Przeszukać ich biura;Użyć własnej broni
25;Jak Tux może przekonać pracowników Microsoftu, aby przeszli na jego stronę?;Obiecać im większe zarobki;Zagrać na ich strachu przed utratą pracy;Wynająć prywatnych detektywów, którzy ich przestraszą;Zagrać na ich patriotyzmie;Obiecać im większe zarobki
26;Jakie narzędzia Tux musi wykorzystać, aby odbić więźniów z rąk ochroniarzy Microsoftu?;Karabiny;Miecze;Rakiety;Netsplittery;Netsplittery
27;Co się stanie, jeśli Tux zostanie uznany za winnego ataku na Microsoft?;Zostanie skazany na dożywocie;Zostanie uwięziony na 30 lat;Będzie musiał zapłacić dużą grzywnę;Nic się nie stanie, to tylko gra;Zostanie skazany na dożywocie.
28;Jakie strategie Tux może zastosować, aby rozprzestrzenić się po całym kampusie Microsoftu?;Infiltrować biura;Zasiać zamęt;Zniszczyć infrastrukturę;Przekupić pracowników;Infiltrować biura
29;Jak Tux może zyskać poparcie społeczności open source w walce przeciwko Microsoftowi?;Zorganizować protesty;Zasponsorować projekty open source;Zatrudnić programistów open source;Zawrzeć sojusz z innymi projektami open source;Zawrzeć sojusz z innymi projektami open source
30;Co Tux powinien zrobić, aby ocalić swoją reputację, gdyby plan zdominowania Microsoftu nie powiódł się?;Przeprosić;Zwalić winę na kogoś innego;Uciekać z kraju;Zmienić tożsamość;Przeprosić
31;Jak Tux może zatrzymać Microsoft przed wprowadzeniem nowych funkcji, które są niezgodne z licencją GNU/GPL?;Zażądać, aby programiści Microsoftu podpisali oświadczenie o zgodności z licencją GNU/GPL;Zgłosić naruszenie licencji GNU/GPL do odpowiednich organów;Zablokować dostęp do witryny Microsoftu;Zignorować to i skupić się na zdominowaniu Microsoftu;Zgłosić naruszenie licencji GNU/GPL do odpowiednich organów
32;Co Tux musi zrobić, aby zyskać zaufanie pracowników Microsoftu?;Przekupić ich;Obiecać im awans;Zagrać na ich ambicjach;Zdobyć dla nich nagrody;Zagrać na ich ambicjach
33;Jakie ryzyka wiążą się z infiltracją Microsoftu przez Tuxa?;Może zostać ujęty przez ochronę;Może narazić siebie i innych na niebezpieczeństwo;Może stracić cały majątek;Nic się nie stanie, to tylko gra;Może narazić siebie i innych na niebezpieczeństwo
34;Co Tux powinien zrobić, aby zdominować Microsoft w przyszłości?;Zachęcać do pracy dla siebie najlepszych programistów;Zablokować wszystkie witryny Microsoftu;Kupić wszystkie akcje Microsoftu;Zainstalować oprogramowanie open source na wszystkich komputerach Microsoftu;Zachęcać do pracy dla siebie najlepszych programistów
35;Jakie cele ma Tux w zdominowaniu Microsoftu?;Zwyciężyć nad Microsoftem;Zapewnić wolność użytkownikom;Przejmowanie kontroli nad innymi korporacjami;Osiągnięcie potęgi;Zapewnić wolność użytkownikom
36;Jakie ryzyka wiążą się z zdominowaniem Microsoftu przez Tuxa?;Może sprowokować wojnę handlową między krajami;Może przyciągnąć uwagę innych potężnych korporacji;Może stać się celem ataków ze strony hakerów i cyberprzestępców;Może spotkać się z krytyką ze strony innych zwolenników wolnego oprogramowania;Nic się nie stanie, to tylko gra;Może przyciągnąć uwagę innych potężnych korporacji
37;Jak Tux może zmienić swoją strategię, aby zdominować Microsoft?;Zatrudnić bardziej agresywnych programistów;Stworzyć lepsze oprogramowanie;Wprowadzić tanie, konkurencyjne ceny;Wyznaczyć sobie krótsze cele;Wyznaczyć sobie krótsze cele
38;Jak Tux może przekonać użytkowników komputerów z systemem Windows do przejścia na oprogramowanie open source?;Zapewnić darmowe szkolenia;Zaoferować darmowe przewodniki po oprogramowaniu open source;Zaoferować darmowe narzędzia do migracji;Zapewnić darmowe wsparcie techniczne;Zaoferować darmowe narzędzia do migracji
39;Jakie korzyści może przynieść zdominowanie Microsoftu przez Tuxa?;Wolność użytkowników;Zapewnienie wysokiej jakości oprogramowania;Wprowadzenie innowacji na rynku;Osiągnięcie potęgi;Wolność użytkowników
40;Jakie ryzyka wiążą się z planem Tuxa, aby podbić kampus Microsoftu?;Może zostać zauważony przez ochronę;Może spotkać się z krytyką ze strony innych zwolenników wolnego oprogramowania;Może narazić siebie i innych na niebezpieczeństwo;Nic się nie stanie, to tylko gra;Może narazić siebie i innych na niebezpieczeństwo
41;Jakie konsekwencje prawne może ponieść Tux, gdyby został ujęty przez Microsoft?;Zostanie oskarżony o naruszenie prawa autorskiego;Zostanie oskarżony o kradzież własności intelektualnej;Zostanie oskarżony o szpiegostwo przemysłowe;Zostanie oskarżony o terroryzm;Zostanie oskarżony o szpiegostwo przemysłowe
42;Co Tux może zrobić, aby zdominować rynek smartfonów?;Zainwestować w rozwój systemu operacyjnego dla smartfonów;Przeprowadzić skuteczną kampanię marketingową;Zainwestować w produkcję smartfonów;Zawrzeć sojusz z innymi producentami smartfonów;Zainwestować w rozwój systemu operacyjnego dla smartfonów
43;Jak Tux może przeciwstawić się wprowadzeniu przez Microsoft zamkniętego kodu w swoim oprogramowaniu?;Zorganizować kampanię informacyjną;Zablokować dostęp dooprogramowania Microsoftu;Wprowadzić własne rozwiązania open source, które konkurują z Microsoftem;Wyzwać Microsoft do publicznej debaty;Wprowadzić własne rozwiązania open source, które konkurują z Microsoftem
44;Jakie zagrożenia dla wolności użytkowników niesie ze sobą dominacja Microsoftu?;Zagrożenie prywatności użytkowników;Ograniczenie dostępności oprogramowania dla użytkowników;Ograniczenie innowacyjności na rynku;Nadmierna kontrola ze strony Microsoftu;Zagrożenie prywatności użytkowników
45;Jakie korzyści niesie ze sobą przejście na oprogramowanie open source dla przedsiębiorstw?;Oszczędności finansowe;Większa kontrola nad oprogramowaniem;Mniejsza liczba błędów oprogramowania;Wszystkie wymienione powyżej;Wszystkie wymienione powyżej
46;Jakie zagrożenia dla bezpieczeństwa niesie ze sobą wprowadzenie zamkniętego kodu w oprogramowaniu?;Możliwość wykorzystania podatności w celach szpiegowskich;Możliwość naruszania prywatności użytkowników;Możliwość ataków hakerskich;Wszystkie wymienione powyżej;Wszystkie wymienione powyżej
47;Jak Tux może przekonać użytkowników oprogramowania zamkniętego kodu do przejścia na oprogramowanie open source?;Zaoferować darmowe szkolenia;Zapewnić darmowe wsparcie techniczne;Zaoferować darmowe narzędzia do migracji;Wszystkie wymienione powyżej;Wszystkie wymienione powyżej
48;Jakie zagrożenia dla użytkowników niesie ze sobą wprowadzenie sztucznej inteligencji do oprogramowania?;Możliwość naruszania prywatności użytkowników;Możliwość ataków hakerskich;Możliwość wykorzystania sztucznej inteligencji w celach szpiegowskich;Wszystkie wymienione powyżej;Wszystkie wymienione powyżej
49;Jakie korzyści niesie ze sobą wprowadzenie sztucznej inteligencji do oprogramowania?;Zwiększenie wydajności oprogramowania;Poprawa jakości oprogramowania;Poprawa obsługi klienta;Wszystkie wymienione powyżej;Wszystkie wymienione powyżej
50;Jakie zagrożenia dla wolności użytkowników niesie ze sobą wprowadzenie sztucznej inteligencji do oprogramowania?;Zagrożenie prywatności użytkowników;Możliwość ataków hakerskich;Nadmierna kontrola ze strony systemu;Wszystkie wymienione powyżej;Wszystkie wymienione powyżej
51;Jak Tux może przeciwstawić się próbom wprowadzenia zamkniętegokodu i sztucznej inteligencji w oprogramowaniu?;Rozpocząć kampanię na rzecz wolności oprogramowania;Wprowadzić swoje rozwiązania open source, które konkurują z zamkniętym oprogramowaniem;Zaproponować alternatywne rozwiązania dla sztucznej inteligencji;Wszystkie wymienione powyżej;Wszystkie wymienione powyżej
52;Jakie korzyści niesie ze sobą udział w projektach open source dla programistów?;Rozwój umiejętności programistycznych;Możliwość zdobycia doświadczenia;Możliwość wzięcia udziału w projekcie o znaczeniu globalnym;Wszystkie wymienione powyżej;Wszystkie wymienione powyżej
53;Jakie zagrożenia niesie ze sobą korzystanie z oprogramowania open source?;Możliwość wykorzystania szkodliwego kodu;Brak gwarancji jakości;Możliwość wycieku danych;Wszystkie wymienione powyżej;Wszystkie wymienione powyżej
54;Jak Tux może przekonać przedsiębiorstwa do przejścia na oprogramowanie open source?;Zaoferować darmowe wsparcie techniczne;Zaoferować darmowe narzędzia do migracji;Zaoferować darmowe szkolenia;Wszystkie wymienione powyżej;Wszystkie wymienione powyżej
55;Jakie korzyści niesie ze sobą korzystanie z oprogramowania open source dla użytkowników końcowych?;Oszczędności finansowe;Większa kontrola nad oprogramowaniem;Poprawa jakości oprogramowania;Wszystkie wymienione powyżej;Wszystkie wymienione powyżej
56;Jakie zagrożenia dla bezpieczeństwa niesie ze sobą korzystanie z oprogramowania open source?;Możliwość wykorzystania podatności w celach szpiegowskich;Brak gwarancji jakości oprogramowania;Możliwość ataków hakerskich;Wszystkie wymienione powyżej;Wszystkie wymienione powyżej
57;Jakie korzyści niesie ze sobą udział w projektach open source dla przedsiębiorstw?;Możliwość wpływu na rozwój oprogramowania;Możliwość wzięcia udziału w projekcie o znaczeniu globalnym;Zdobywanie wiedzy i doświadczenia z zakresu IT;Wszystkie wymienione powyżej;Wszystkie wymienione powyżej
58;Jakie zagrożenia dla innowacyjności niesie ze sobą monopol Microsoftu na rynku oprogramowania?;Brak alternatywnych rozwiązań;Brak konkurencji na rynku;Ograniczenie rozwoju oprogramowania;Wszystkie wymienione powyżej;
59;Jakie korzyści niesie ze sobą wprowadzenie open source do sztucznej inteligencji?;Większa kontrola nad danymi;Większa przejrzystość algorytmów;Większa innowacyjność;Wszystkie wymienione powyżej;Wszystkie wymienione powyżej
60;Jakie zagrożenia niesie ze sobą brak alternatyw dla sztucznej inteligencji opartej na zamkniętym oprogramowaniu?;Brak przejrzystości algorytmów;Możliwość wykorzystywania algorytmów w celach szpiegowskich;Możliwość dyskryminacji użytkowników;Wszystkie wymienione powyżej;Wszystkie wymienione powyżej
